date,lat,lon,dhw,sst
1985-03-25T12:00:00Z,-18.174997,147.42499,2.165745856353591,28.55
1985-03-26T12:00:00Z,-18.174997,147.42499,2.143646408839779,28.51
1985-03-27T12:00:00Z,-18.174997,147.42499,2.1215469613259668,28.14
1985-03-28T12:00:00Z,-18.174997,147.42499,2.0994475138121547,27.87
1985-03-29T12:00:00Z,-18.174997,147.42499,2.0773480662983426,27.72
1985-03-30T12:00:00Z,-18.174997,147.42499,2.0552486187845305,27.63
1985-03-31T12:00:00Z,-18.174997,147.42499,2.0331491712707184,27.59
1985-04-01T12:00:00Z,-18.174997,147.42499,2.0110497237569063,27.55
1985-04-02T12:00:00Z,-18.174997,147.42499,1.988950276243094,27.49
1985-04-03T12:00:00Z,-18.174997,147.42499,1.9668508287292819,27.47
1985-04-04T12:00:00Z,-18.174997,147.42499,1.9447513812154695,27.86
1985-04-05T12:00:00Z,-18.174997,147.42499,1.9226519337016574,27.81
1985-04-06T12:00:00Z,-18.174997,147.42499,1.9005524861878453,27.8
1985-04-07T12:00:00Z,-18.174997,147.42499,1.8784530386740332,27.93
1985-04-08T12:00:00Z,-18.174997,147.42499,1.856353591160221,27.95
1985-04-09T12:00:00Z,-18.174997,147.42499,1.8342541436464088,27.86
1985-04-10T12:00:00Z,-18.174997,147.42499,1.8121546961325967,27.67
1985-04-11T12:00:00Z,-18.174997,147.42499,1.7900552486187846,28.57
1985-04-12T12:00:00Z,-18.174997,147.42499,1.7679558011049723,27.12
1985-04-13T12:00:00Z,-18.174997,147.42499,1.7458563535911602,26.96
1985-04-14T12:00:00Z,-18.174997,147.42499,1.723756906077348,26.82
1985-04-15T12:00:00Z,-18.174997,147.42499,1.701657458563536,27.55
1985-04-16T12:00:00Z,-18.174997,147.42499,1.6795580110497237,28.15
1985-04-17T12:00:00Z,-18.174997,147.42499,1.6574585635359116,28.79
1985-04-18T12:00:00Z,-18.174997,147.42499,1.6353591160220995,29.22
1985-04-19T12:00:00Z,-18.174997,147.42499,1.6132596685082874,29.07
1985-04-20T12:00:00Z,-18.174997,147.42499,1.591160220994475,28.59
1985-04-21T12:00:00Z,-18.174997,147.42499,1.569060773480663,28.24
1985-04-22T12:00:00Z,-18.174997,147.42499,1.5469613259668509,28.0
1985-04-23T12:00:00Z,-18.174997,147.42499,1.5248618784530388,27.66
1985-04-24T12:00:00Z,-18.174997,147.42499,1.5027624309392265,27.55
1985-04-25T12:00:00Z,-18.174997,147.42499,1.4806629834254144,27.32
1985-04-26T12:00:00Z,-18.174997,147.42499,1.4585635359116023,27.07
1985-04-27T12:00:00Z,-18.174997,147.42499,1.4364640883977902,26.96
1985-04-28T12:00:00Z,-18.174997,147.42499,1.4143646408839778,26.95
1985-04-29T12:00:00Z,-18.174997,147.42499,1.3922651933701657,26.97
1985-04-30T12:00:00Z,-18.174997,147.42499,1.3701657458563536,26.98
1985-05-01T12:00:00Z,-18.174997,147.42499,1.3480662983425415,27.01
1985-05-02T12:00:00Z,-18.174997,147.42499,1.3259668508287292,27.0
1985-05-03T12:00:00Z,-18.174997,147.42499,1.3038674033149171,27.18
1985-05-04T12:00:00Z,-18.174997,147.42499,1.281767955801105,27.34
1985-05-05T12:00:00Z,-18.174997,147.42499,1.2596685082872927,27.51
1985-05-06T12:00:00Z,-18.174997,147.42499,1.2375690607734806,27.17
1985-05-07T12:00:00Z,-18.174997,147.42499,1.2154696132596685,26.74
1985-05-08T12:00:00Z,-18.174997,147.42499,1.1933701657458564,26.54
1985-05-09T12:00:00Z,-18.174997,147.42499,1.171270718232044,26.19
1985-05-10T12:00:00Z,-18.174997,147.42499,1.149171270718232,25.97
1985-05-11T12:00:00Z,-18.174997,147.42499,1.12707182320442,26.49
1985-05-12T12:00:00Z,-18.174997,147.42499,1.1049723756906078,26.22
1985-05-13T12:00:00Z,-18.174997,147.42499,1.0828729281767955,25.85
1985-05-14T12:00:00Z,-18.174997,147.42499,1.0607734806629834,25.53
1985-05-15T12:00:00Z,-18.174997,147.42499,1.0386740331491713,25.45
1985-05-16T12:00:00Z,-18.174997,147.42499,1.0165745856353592,25.51
1985-05-17T12:00:00Z,-18.174997,147.42499,0.994475138121547,25.64
1985-05-18T12:00:00Z,-18.174997,147.42499,0.9723756906077348,25.66
1985-05-19T12:00:00Z,-18.174997,147.42499,0.9502762430939227,25.58
1985-05-20T12:00:00Z,-18.174997,147.42499,0.9281767955801105,25.48
1985-05-21T12:00:00Z,-18.174997,147.42499,0.9060773480662984,25.37
1985-05-22T12:00:00Z,-18.174997,147.42499,0.8839779005524862,25.18
1985-05-23T12:00:00Z,-18.174997,147.42499,0.861878453038674,25.31
1985-05-24T12:00:00Z,-18.174997,147.42499,0.8397790055248618,25.26
1985-05-25T12:00:00Z,-18.174997,147.42499,0.8176795580110497,25.2
1985-05-26T12:00:00Z,-18.174997,147.42499,0.7955801104972375,25.09
1985-05-27T12:00:00Z,-18.174997,147.42499,0.7734806629834254,24.98
1985-05-28T12:00:00Z,-18.174997,147.42499,0.7513812154696132,25.01
1985-05-29T12:00:00Z,-18.174997,147.42499,0.7292817679558011,24.69
1985-05-30T12:00:00Z,-18.174997,147.42499,0.7071823204419889,24.22
